team_name_1,team_name_2,timestamp,team_1_adj_pts,team_2_adj_pts,total_adj_pts,team_1_win_percentage,team_2_win_percentage,team_1_actual_points,team_2_actual_points,total_actual_points,moneyline_prediction,actual_winner,moneyline_result,total_o_u_points,o_u_prediction,o_u_result,,
Dallas,Milwaukee,11/18/23 11:19,116.91,116.974,233.884,0.498,0.502,125,132,257,Milwaukee,Milwaukee,Win,242.5,Under,Loss,,
Memphis,San Antonio,11/18/23 11:19,117.91,113.295,231.205,0.628,0.372,120,108,228,Memphis,Memphis,Win,224,Over,Win,,
Okla City,Golden State,11/18/23 11:19,115.865,114.648,230.513,0.534,0.466,130,123,253,Okla City,Okla City,Win,230.5,Over,Win,,
Philadelphia,Brooklyn,11/19/23 11:23,114.854,112.32,227.175,0.571,0.429,121,99,220,Philadelphia,Philadelphia,Win,223,Over,Loss,,
Detroit,Toronto,11/19/23 11:23,110.524,113.51,224.034,0.416,0.584,113,142,255,Toronto,Toronto,Win,217.5,Over,Win,,
Orlando,Indiana,11/19/23 11:23,115.373,115.507,230.88,0.497,0.503,128,116,244,Indiana,Orlando,Loss,234,Under,Loss,,
Denver,Cleveland,11/19/23 11:23,111.737,109.872,221.608,0.553,0.447,109,121,230,Denver,Cleveland,Loss,216.5,Over,Win,,
Sacramento,Dallas,11/19/23 11:23,117.474,117.518,234.991,0.499,0.501,129,113,242,Dallas,Sacramento,Loss,245.5,Under,Win,,
Boston,Memphis,11/19/23 11:23,115.837,110.554,226.39,0.645,0.355,102,100,202,Boston,Boston,Win,222.5,Over,Loss,,
Phoenix,Utah,11/19/23 11:23,116.825,114.539,231.364,0.564,0.436,140,137,277,Phoenix,Phoenix,Win,239,Under,Loss,,
Okla City,Portland,11/19/23 11:23,116.111,111.488,227.599,0.628,0.372,134,91,225,Okla City,Okla City,Win,226,Over,Loss,,
Houston,LA Lakers,11/19/23 11:23,112.552,113.27,225.822,0.48,0.52,104,105,209,LA Lakers,LA Lakers,Win,220.5,Over,Loss,,
Boston,Charlotte,11/20/23 11:16,118.441,110.108,228.549,0.722,0.278,118,121,239,Boston,Charlotte,Loss,232,Under,Loss,,
Denver,Detroit,11/20/23 11:16,116.015,109.85,225.865,0.668,0.332,107,103,210,Denver,Denver,Win,222,Over,Loss,,
Milwaukee,Washington,11/20/23 11:16,118.375,114.497,232.872,0.608,0.392,142,129,271,Milwaukee,Milwaukee,Win,245,Under,Loss,,
Miami,Chicago,11/20/23 11:16,110.197,109.649,219.846,0.516,0.484,118,100,218,Miami,Miami,Win,210,Over,Win,,
